County,Date,Count
Splitsko Dalmatinska Županija,Thu May 11 2023 21:21:46 GMT+0000 (Coordinated Universal Time),3183
Splitsko Dalmatinska Županija,Fri May 12 2023 21:19:13 GMT+0000 (Coordinated Universal Time),3020
Splitsko Dalmatinska Županija,Sun May 14 2023 21:18:06 GMT+0000 (Coordinated Universal Time),3051
Splitsko Dalmatinska Županija,Mon May 15 2023 21:19:07 GMT+0000 (Coordinated Universal Time),3035
Splitsko Dalmatinska Županija,Tue May 16 2023 21:19:21 GMT+0000 (Coordinated Universal Time),3251
Splitsko Dalmatinska Županija,Wed May 17 2023 21:19:15 GMT+0000 (Coordinated Universal Time),3349
Splitsko Dalmatinska Županija,Fri May 18 2023 21:22:49 GMT+0200 (Central European Summer Time),3376
Splitsko Dalmatinska Županija,Tue May 30 2023 22:45:59 GMT+0200 (Central European Summer Time),3482
Splitsko Dalmatinska Županija,Wed May 31 2023 18:21:25 GMT+0200 (Central European Summer Time),3482
Splitsko Dalmatinska Županija,Fri Jun 02 2023 16:36:49 GMT+0200 (Central European Summer Time),3493
Splitsko Dalmatinska Županija,Mon Jun 05 2023 12:18:11 GMT+0200 (Central European Summer Time),3532
Splitsko Dalmatinska Županija,Wed Jun 07 2023 18:01:06 GMT+0200 (Central European Summer Time),3505
Splitsko Dalmatinska Županija,Thu Jun 08 2023 20:25:19 GMT+0200 (Central European Summer Time),3535
Splitsko Dalmatinska Županija,Fri Jun 09 2023 17:42:46 GMT+0200 (Central European Summer Time),3549
Splitsko Dalmatinska Županija,Sat Jun 10 2023 12:13:12 GMT+0200 (Central European Summer Time),3559
Splitsko Dalmatinska Županija,Sun Jun 11 2023 13:07:17 GMT+0200 (Central European Summer Time),3560
Splitsko Dalmatinska Županija,Tue Jun 13 2023 22:53:25 GMT+0200 (Central European Summer Time),3585
Splitsko Dalmatinska Županija,Wed Jun 14 2023 17:09:51 GMT+0200 (Central European Summer Time),3620
Splitsko Dalmatinska Županija,Thu Jun 15 2023 13:35:51 GMT+0200 (Central European Summer Time),3640
Splitsko Dalmatinska Županija,Fri Jun 16 2023 21:49:48 GMT+0200 (Central European Summer Time),3668
Splitsko Dalmatinska Županija,Sun Jun 18 2023 21:35:35 GMT+0200 (Central European Summer Time),3665
Splitsko Dalmatinska Županija,Mon Jun 19 2023 13:27:55 GMT+0200 (Central European Summer Time),3670
Splitsko Dalmatinska Županija,Wed Jun 21 2023 04:03:34 GMT+0200 (Central European Summer Time),3686
Splitsko Dalmatinska Županija,Thu Jun 22 2023 20:15:10 GMT+0200 (Central European Summer Time),3721
Splitsko Dalmatinska Županija,Fri Jun 23 2023 22:13:58 GMT+0200 (Central European Summer Time),3724
Splitsko Dalmatinska Županija,Sat Jun 24 2023 17:58:40 GMT+0200 (Central European Summer Time),3723
Splitsko Dalmatinska Županija,Sun Jun 25 2023 13:24:31 GMT+0200 (Central European Summer Time),3728
Splitsko Dalmatinska Županija,Mon Jun 26 2023 17:21:19 GMT+0200 (Central European Summer Time),3713
Splitsko Dalmatinska Županija,Thu Jun 29 2023 08:13:38 GMT+0200 (Central European Summer Time),3740
Splitsko Dalmatinska Županija,Fri Jun 30 2023 22:50:44 GMT+0200 (Central European Summer Time),3751
Splitsko Dalmatinska Županija,Sat Jul 01 2023 10:07:03 GMT+0200 (Central European Summer Time),3740
Splitsko Dalmatinska Županija,Sun Jul 02 2023 01:21:30 GMT+0200 (Central European Summer Time),3735
Splitsko Dalmatinska Županija,Wed Jul 05 2023 01:44:20 GMT+0200 (Central European Summer Time),3657
Splitsko Dalmatinska Županija,Wed Jul 05 2023 20:51:53 GMT+0200 (Central European Summer Time),3671
Splitsko Dalmatinska Županija,Thu Jul 06 2023 17:58:22 GMT+0200 (Central European Summer Time),3622
Splitsko Dalmatinska Županija,Fri Jul 07 2023 21:55:55 GMT+0200 (Central European Summer Time),3647
Splitsko Dalmatinska Županija,Sun Jul 09 2023 21:21:35 GMT+0200 (Central European Summer Time),3666
Splitsko Dalmatinska Županija,Mon Jul 10 2023 22:38:44 GMT+0200 (Central European Summer Time),3677
Splitsko Dalmatinska Županija,Tue Jul 11 2023 13:19:16 GMT+0200 (Central European Summer Time),3714
Splitsko Dalmatinska Županija,Sat Jul 15 2023 11:00:47 GMT+0200 (Central European Summer Time),3813
Splitsko Dalmatinska Županija,Sun Jul 16 2023 22:11:32 GMT+0200 (Central European Summer Time),3814
