County,Date,Count
Zadarska Županija,Thu May 11 2023 21:17:31 GMT+0000 (Coordinated Universal Time),2415
Zadarska Županija,Fri May 12 2023 21:16:39 GMT+0000 (Coordinated Universal Time),2386
Zadarska Županija,Sat May 13 2023 21:16:01 GMT+0000 (Coordinated Universal Time),2383
Zadarska Županija,Sun May 14 2023 21:16:08 GMT+0000 (Coordinated Universal Time),2385
Zadarska Županija,Mon May 15 2023 21:16:23 GMT+0000 (Coordinated Universal Time),2394
Zadarska Županija,Tue May 16 2023 21:16:03 GMT+0000 (Coordinated Universal Time),2446
Zadarska Županija,Wed May 17 2023 21:17:08 GMT+0000 (Coordinated Universal Time),2452
Zadarska Županija,Fri May 18 2023 21:22:43 GMT+0200 (Central European Summer Time),2486
Zadarska Županija,Fri May 19 2023 17:53:40 GMT+0000 (Coordinated Universal Time),2491
Zadarska Županija,Tue May 30 2023 22:45:51 GMT+0200 (Central European Summer Time),2515
