County,Date,Count
Zadarska Županija,Thu May 11 2023 21:18:41 GMT+0000 (Coordinated Universal Time),3405
Zadarska Županija,Fri May 12 2023 21:17:19 GMT+0000 (Coordinated Universal Time),3386
Zadarska Županija,Sat May 13 2023 21:16:46 GMT+0000 (Coordinated Universal Time),3416
Zadarska Županija,Sun May 14 2023 21:16:52 GMT+0000 (Coordinated Universal Time),3416
Zadarska Županija,Mon May 15 2023 21:17:13 GMT+0000 (Coordinated Universal Time),3414
Zadarska Županija,Tue May 16 2023 21:16:38 GMT+0000 (Coordinated Universal Time),3410
Zadarska Županija,Wed May 17 2023 21:17:53 GMT+0000 (Coordinated Universal Time),3406
Zadarska Županija,Fri May 18 2023 21:22:45 GMT+0200 (Central European Summer Time),3391
Zadarska Županija,Tue May 30 2023 22:45:53 GMT+0200 (Central European Summer Time),3472
Zadarska Županija,Wed May 31 2023 18:21:21 GMT+0200 (Central European Summer Time),3471
Zadarska Županija,Fri Jun 02 2023 16:36:44 GMT+0200 (Central European Summer Time),3461
Zadarska Županija,Mon Jun 05 2023 12:18:07 GMT+0200 (Central European Summer Time),3464
Zadarska Županija,Wed Jun 07 2023 18:01:01 GMT+0200 (Central European Summer Time),3457
Zadarska Županija,Thu Jun 08 2023 20:25:10 GMT+0200 (Central European Summer Time),3457
Zadarska Županija,Fri Jun 09 2023 17:42:41 GMT+0200 (Central European Summer Time),3459
Zadarska Županija,Sat Jun 10 2023 12:13:07 GMT+0200 (Central European Summer Time),3464
Zadarska Županija,Sun Jun 11 2023 13:07:11 GMT+0200 (Central European Summer Time),3468
Zadarska Županija,Tue Jun 13 2023 22:53:21 GMT+0200 (Central European Summer Time),3479
Zadarska Županija,Wed Jun 14 2023 17:09:47 GMT+0200 (Central European Summer Time),3487
Zadarska Županija,Thu Jun 15 2023 13:35:47 GMT+0200 (Central European Summer Time),3516
Zadarska Županija,Fri Jun 16 2023 21:49:44 GMT+0200 (Central European Summer Time),3531
Zadarska Županija,Sun Jun 18 2023 21:35:31 GMT+0200 (Central European Summer Time),3527
Zadarska Županija,Mon Jun 19 2023 13:27:51 GMT+0200 (Central European Summer Time),3528
Zadarska Županija,Wed Jun 21 2023 04:03:30 GMT+0200 (Central European Summer Time),3536
Zadarska Županija,Thu Jun 22 2023 20:15:06 GMT+0200 (Central European Summer Time),3545
Zadarska Županija,Fri Jun 23 2023 22:13:54 GMT+0200 (Central European Summer Time),3550
Zadarska Županija,Sat Jun 24 2023 17:58:37 GMT+0200 (Central European Summer Time),3548
Zadarska Županija,Sun Jun 25 2023 13:24:21 GMT+0200 (Central European Summer Time),3554
Zadarska Županija,Mon Jun 26 2023 17:21:15 GMT+0200 (Central European Summer Time),3558
Zadarska Županija,Thu Jun 29 2023 08:13:34 GMT+0200 (Central European Summer Time),3553
Zadarska Županija,Fri Jun 30 2023 22:50:39 GMT+0200 (Central European Summer Time),3575
Zadarska Županija,Sat Jul 01 2023 10:06:52 GMT+0200 (Central European Summer Time),3545
Zadarska Županija,Sun Jul 02 2023 01:21:25 GMT+0200 (Central European Summer Time),3546
Zadarska Županija,Wed Jul 05 2023 01:44:16 GMT+0200 (Central European Summer Time),3520
Zadarska Županija,Wed Jul 05 2023 20:51:49 GMT+0200 (Central European Summer Time),3528
Zadarska Županija,Thu Jul 06 2023 17:58:18 GMT+0200 (Central European Summer Time),3517
Zadarska Županija,Fri Jul 07 2023 21:55:50 GMT+0200 (Central European Summer Time),3528
Zadarska Županija,Sun Jul 09 2023 21:21:31 GMT+0200 (Central European Summer Time),3536
Zadarska Županija,Mon Jul 10 2023 22:38:39 GMT+0200 (Central European Summer Time),3538
Zadarska Županija,Tue Jul 11 2023 13:19:12 GMT+0200 (Central European Summer Time),3554
Zadarska Županija,Sat Jul 15 2023 11:00:43 GMT+0200 (Central European Summer Time),3557
Zadarska Županija,Sun Jul 16 2023 22:11:27 GMT+0200 (Central European Summer Time),3556
Zadarska Županija,Wed Jul 19 2023 17:55:16 GMT+0200 (Central European Summer Time),3570
Zadarska Županija,Thu Jul 20 2023 23:45:05 GMT+0200 (Central European Summer Time),3580
Zadarska Županija,Sat Jul 22 2023 22:40:27 GMT+0200 (Central European Summer Time),3570
Zadarska Županija,Mon Jul 24 2023 21:15:18 GMT+0200 (Central European Summer Time),3581
Zadarska Županija,Tue Jul 25 2023 21:26:28 GMT+0200 (Central European Summer Time),3577
Zadarska Županija,Wed Jul 26 2023 21:55:49 GMT+0200 (Central European Summer Time),3581
Zadarska Županija,Sun Jul 30 2023 16:20:23 GMT+0200 (Central European Summer Time),3600
Zadarska Županija,Mon Jul 31 2023 15:27:01 GMT+0200 (Central European Summer Time),3596
Zadarska Županija,Sat Aug 12 2023 01:30:06 GMT+0200 (Central European Summer Time),3597
Zadarska Županija,Sat Aug 12 2023 20:37:36 GMT+0200 (Central European Summer Time),3609
Zadarska Županija,Tue Aug 15 2023 12:41:53 GMT+0200 (Central European Summer Time),3608
Zadarska Županija,Fri Aug 18 2023 01:07:59 GMT+0200 (Central European Summer Time),3595
